ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
16APSK,-162,364237771,15.7823478985795,100,2.41126543209877e-05,0.0123456790123457,1,0,0
16APSK,-162,364238780,15.794896231185,100,2.41126543209877e-05,0.0123456790123457,1,0,0
16APSK,-162,364239789,15.7789143519149,98.876404494382,0.00443672839506173,0.0246913580246914,1,0,0
16APSK,-162,364240798,15.7875532604878,100,0.00126591435185185,0.0246913580246914,1,0,0
16APSK,-162,364241807,15.7932000208841,100,0,0,1,1,1
16APSK,-161,364232726,14.7912208405486,100,0.00417148919753086,0.0246913580246914,1,0,0
16APSK,-161,364233735,14.7835960545389,100,0.0082103587962963,0.0617283950617284,1,0,0
16APSK,-161,364234744,14.7791024628318,100,0.00131413966049383,0.037037037037037,1,0,0
16APSK,-161,364235753,14.7830920996295,98.876404494382,0.000277295524691358,0.0493827160493827,1,0,0
16APSK,-161,364236762,14.7780972348025,100,0,0,1,1,1
16APSK,-161,364237771,14.7823478985795,100,0.000168788580246914,0.0246913580246914,1,0,0
16APSK,-161,364238780,14.794896231185,100,0,0,1,1,1
16APSK,-161,364239789,14.7789143519149,98.876404494382,0.000337577160493827,0.037037037037037,1,0,0
16APSK,-161,364240798,14.7875532604878,100,0.00148292824074074,0.0246913580246914,1,0,0
16APSK,-161,364241807,14.7932000208841,98.876404494382,0,0,1,1,1
16APSK,-160,364232726,13.7912208405486,100,0.00179639274691358,0.037037037037037,1,0,0
16APSK,-160,364233735,13.7835960545389,100,0.010718074845679,0.0864197530864197,1,0,0
16APSK,-160,364234744,13.7791024628318,98.876404494382,0.0164086612654321,0.0740740740740741,1,0,0
16APSK,-160,364235753,13.7830920996295,98.876404494382,0.00718557098765432,0.0740740740740741,1,0,0
16APSK,-160,364236762,13.7780972348025,100,0.000313464506172839,0.0246913580246914,1,0,0
16APSK,-160,364237771,13.7823478985795,100,0.00109712577160494,0.037037037037037,1,0,0
16APSK,-160,364238780,13.794896231185,100,0.00481047453703704,0.0493827160493827,1,0,0
16APSK,-160,364239789,13.7789143519149,100,0.0163514672256098,0.0487804878048781,1,0,0
16APSK,-160,364240798,13.7875532604878,100,0.0106819058641975,0.0493827160493827,1,0,0
16APSK,-160,364241807,13.7932000208841,100,0.0117549189814815,0.0493827160493827,1,0,0
16APSK,-159,364232726,12.7912208405486,100,0.0149980709876543,0.0740740740740741,1,0,0
16APSK,-159,364233735,12.7835960545389,100,0.017650462962963,0.0864197530864197,1,0,0
16APSK,-159,364234744,12.7791024628318,97.752808988764,0.00843505859375,0.1125,0,0,0
16APSK,-159,364235753,12.7830920996295,97.752808988764,0.0142333984375,0.0875,0,0,0
16APSK,-159,364236762,12.7780972348025,100,0.00491943359375,0.0625,1,0,0
16APSK,-159,364237771,12.7823478985795,100,0.00348427854938272,0.0617283950617284,1,0,0
16APSK,-159,364238780,12.794896231185,100,0.00934365354938272,0.0987654320987654,1,0,0
16APSK,-159,364239789,12.7789143519149,98.876404494382,0.0251374421296296,0.0864197530864197,1,0,0
16APSK,-159,364240798,12.7875532604878,100,0.00944010416666667,0.0864197530864197,1,0,0
16APSK,-159,364241807,12.7932000208841,100,0.0217616705246914,0.0864197530864197,1,0,0
16APSK,-158,364232726,11.7912208405486,100,0.0447771990740741,0.111111111111111,1,0,0
16APSK,-158,364233735,11.7835960545389,98.876404494382,0.0223388671875,0.1125,1,0,0
16APSK,-158,364234744,11.7791024628318,96.6292134831461,0.0112119264240506,0.126582278481013,0,0,0
16APSK,-158,364235753,11.7830920996295,97.752808988764,0.0172814477848101,0.113924050632911,0,0,0
16APSK,-158,364236762,11.7780972348025,97.752808988764,0.0146978837025316,0.126582278481013,0,0,0
16APSK,-158,364237771,11.7823478985795,100,0.032154224537037,0.123456790123457,1,0,0
16APSK,-158,364238780,11.794896231185,100,0.0283564814814815,0.148148148148148,1,0,0
16APSK,-158,364239789,11.7789143519149,97.752808988764,0.0249267578125,0.125,0,0,0
16APSK,-158,364240798,11.7875532604878,100,0.0166618441358025,0.148148148148148,1,0,0
16APSK,-158,364241807,11.7932000208841,97.752808988764,0.0118423655063291,0.10126582278481,0,0,0
16APSK,-157,364232726,10.7912208405486,94.3820224719101,0.0452769886363636,0.12987012987013,0,0,0
16APSK,-157,364233735,10.7835960545389,97.752808988764,0.03468017578125,0.125,0,0,0
